DMS_id,UniProt_ID,selection_type,spearman,n_variants
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Activity,-0.026751136401105723,922
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,0.3038231301775807,1837
GCN4_YEAST_Staller_2018,GCN4_YEAST,Binding,0.21218773482621608,2638
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,0.4766796010219491,3295
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Stability,0.11663269027088034,1572
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Stability,0.11107464373572934,1326
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,OrganismalFitness,0.24222619610100302,1813
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Activity,0.3758024938366071,5689
P84126_THETH_Chan_2017,P84126_THETH,OrganismalFitness,0.5433833628074695,1519
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,OrganismalFitness,0.44115513639835724,1195
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Activity,0.06222151595138242,1653
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,OrganismalFitness,0.013705509505176114,9462
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Stability,0.41260047102991476,2028
P53_HUMAN_Kotler_2018,P53_HUMAN,OrganismalFitness,0.113373917680474,1048
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,OrganismalFitness,0.10987478579859361,2395
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,OrganismalFitness,-0.05355190557979965,16897
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Stability,0.3541895968883497,1047
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,OrganismalFitness,0.42420572556936464,2563
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,Stability,0.21853957310845035,2278
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Stability,0.5119245526874503,965
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Stability,0.3702372882246883,1329
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,Stability,0.6443261391638029,3201
NRAM_I33A0_Jiang_2016,NRAM_I33A0,OrganismalFitness,-0.07045077581774321,298
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Activity,0.3082929729755742,747
CBS_HUMAN_Sun_2020,CBS_HUMAN,OrganismalFitness,0.3166616289741861,7217
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Stability,0.12960795138452025,1008
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Stability,0.2978986451860964,1332
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Stability,0.2646245247575349,5586
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Expression,0.011808637258186965,3798
REV_HV1H2_Fernandes_2016,REV_HV1H2,OrganismalFitness,0.03948518924849596,2147
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,OrganismalFitness,0.14324184454983555,2497
YAP1_HUMAN_Araya_2012,YAP1_HUMAN,Binding,0.5125859577721024,10075
NCAP_I34A1_Doud_2015,NCAP_I34A1,OrganismalFitness,0.030412020145886655,9462
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Activity,0.04051628428270287,24515
TRPC_THEMA_Chan_2017,TRPC_THEMA,OrganismalFitness,0.4446549326941553,1519
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,OrganismalFitness,0.32749437248323543,2252
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,OrganismalFitness,0.38571015498411837,4996
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Expression,0.4339740954977743,2695
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,Stability,0.49102666473455114,1479
