DMS_id,UniProt_ID,selection_type,spearman,n_variants
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Stability,0.7969298956119052,2264
POLG_HCVJF_Qi_2014,POLG_HCVJF,OrganismalFitness,0.08673643241864037,1630
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Activity,-0.03604354007784793,922
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,0.30199962476429765,1837
GCN4_YEAST_Staller_2018,GCN4_YEAST,Binding,0.15744937588344132,2638
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,0.5635213626162561,3295
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Stability,0.11191017865630015,1572
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Stability,0.10414508606935585,1326
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,OrganismalFitness,0.2541171518488762,1813
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,Activity,0.3580711963956206,5689
P84126_THETH_Chan_2017,P84126_THETH,OrganismalFitness,0.5154069358338311,1519
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,OrganismalFitness,0.4287865050882018,1195
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Activity,0.07403826385124228,1653
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,OrganismalFitness,0.006416479500315614,9462
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Stability,0.3626143159301485,2028
P53_HUMAN_Kotler_2018,P53_HUMAN,OrganismalFitness,0.12087206878316552,1048
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,OrganismalFitness,0.11964918480634044,2395
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,OrganismalFitness,-0.03271468874457514,16897
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Stability,0.3481122983320033,1047
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,OrganismalFitness,0.42900048590961287,2563
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,Stability,0.3855400080511177,2278
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Stability,0.5587358963900955,965
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Stability,0.34169391001821403,1329
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,Stability,0.6249561975518669,3201
NRAM_I33A0_Jiang_2016,NRAM_I33A0,OrganismalFitness,-0.11539404646555837,298
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Activity,0.21532885519523767,747
CBS_HUMAN_Sun_2020,CBS_HUMAN,OrganismalFitness,0.31887800026340624,7217
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,Stability,0.22643338455688636,1008
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Stability,0.388445069602317,1332
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Stability,0.28123249885584595,5586
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Expression,0.0012188762495090038,3798
REV_HV1H2_Fernandes_2016,REV_HV1H2,OrganismalFitness,0.05844329687976682,2147
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,OrganismalFitness,0.1492344506152646,2497
YAP1_HUMAN_Araya_2012,YAP1_HUMAN,Binding,0.4796549693804982,10075
NCAP_I34A1_Doud_2015,NCAP_I34A1,OrganismalFitness,0.020610720400001833,9462
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,Activity,0.05957007577164543,24515
TRPC_THEMA_Chan_2017,TRPC_THEMA,OrganismalFitness,0.4143494877618827,1519
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,OrganismalFitness,0.3018909989858781,2252
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,OrganismalFitness,0.3392577880220617,4996
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Expression,0.403410854960273,2695
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,Stability,0.5294668861703027,1479
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Stability,0.3623745708428884,707
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,Stability,0.4290298974270481,2069
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Activity,0.08195090289301506,51714
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Expression,0.3766047970702769,2844
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Activity,0.41589566599688943,899
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,OrganismalFitness,0.32559002923386693,1777
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Expression,0.19699406819481025,2339
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,Activity,0.18828046147368316,1121
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,OrganismalFitness,0.43769541435787623,3366
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,OrganismalFitness,0.4867692655775722,5004
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Stability,0.35487002776558335,1429
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Stability,0.26366569703147064,1287
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,Binding,-0.049738781266032595,3802
R1AB_SARS2_Flynn_2022,R1AB_SARS2,OrganismalFitness,-0.04366687551673659,5725
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,Binding,0.6270904730435715,24873
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Stability,0.12506271744328512,1134
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Activity,0.025010689021867635,1176
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Activity,0.5095586021205845,2999
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,Stability,0.2646259110725356,1025
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Stability,0.48729823795949223,1279
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,OrganismalFitness,0.00029919665704163914,10715
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,OrganismalFitness,-0.07975844284839118,15711
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,OrganismalFitness,0.26504365950722686,375
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,Stability,0.7591591363226672,1459
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,OrganismalFitness,0.1936100477092041,3181
RL40A_YEAST_Mavor_2016,RL40A_YEAST,OrganismalFitness,0.36523789130847933,1253
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Binding,0.37888584039563716,3344
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Expression,0.5323557032099794,3344
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Expression,0.3382436446155217,8756
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,Expression,0.5625358528212929,9803
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,Stability,0.4029628655040439,1461
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,OrganismalFitness,0.5338646768125064,1700
DLG4_RAT_McLaughlin_2012,DLG4_RAT,Binding,0.49794608087699666,1576
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,Stability,0.5656041274646515,1019
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,OrganismalFitness,0.40745672708497443,7889
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Stability,0.38673212967916293,1944
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,OrganismalFitness,0.5365582612409946,4996
LGK_LIPST_Klesmith_2015,LGK_LIPST,Activity,0.3067055502904848,7890
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,Stability,0.44184884485466597,2033
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,Binding,0.08870735988438093,3761
SRC_HUMAN_Ahler_2019,SRC_HUMAN,Activity,0.5332893703445957,3372
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,Activity,0.19070246431720278,2315
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,Activity,0.4789982943472817,7800
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Stability,0.5852327154185776,635
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,Expression,0.21840974438231447,8396
OPSD_HUMAN_Wan_2019,OPSD_HUMAN,Expression,0.48614154517811603,165
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Activity,0.27447032379373737,637
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,OrganismalFitness,0.5609477108074223,63366
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,OrganismalFitness,-0.0028347782146863954,16853
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Stability,0.4045621449356671,1261
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,Activity,0.30352746004083864,6963
RAF1_HUMAN_Zinkus-Boltz_2019,RAF1_HUMAN,OrganismalFitness,0.21309558689089167,297
RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD,Activity,0.3251804292845913,351
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,Stability,0.533688992529793,1380
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Stability,0.5766355084750686,1579
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN,Expression,0.45786302297396225,326
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,OrganismalFitness,0.19746409400759904,42328
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,Activity,0.4994354438853201,11576
MK01_HUMAN_Brenan_2016,MK01_HUMAN,OrganismalFitness,0.20448938707489528,6809
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,OrganismalFitness,0.21079267200676535,1154
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,Expression,0.2521494362016906,5083
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,Expression,0.4442513713559403,3648
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW,OrganismalFitness,-0.06667929844969593,9192
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Activity,-0.009850293312504055,33510
RNC_ECOLI_Weeks_2023,RNC_ECOLI,Activity,0.5719052627981647,4277
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,Stability,0.1821592186943649,1890
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,Binding,0.07065431449682016,170
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Activity,0.04484818216932361,31401
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Stability,0.5747526376791862,1824
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Activity,0.059557608339029296,8117
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,Stability,0.24920532993327338,1580
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,Expression,0.5852590767954458,6370
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,Stability,0.3321071069139755,2568
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,OrganismalFitness,-0.018534533487044834,10754
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,OrganismalFitness,0.012731686351998684,265
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,Stability,0.48629088644730667,1451
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Activity,0.41149300431420144,7260
OTC_HUMAN_Lo_2023,OTC_HUMAN,Activity,0.4406867950811762,1570
RPC1_LAMBD_Li_2019_low-expression,RPC1_LAMBD,Activity,0.2823702425354984,351
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,OrganismalFitness,0.097587726892067,2374
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Stability,0.7172016555440461,802
SPG1_STRSG_Wu_2016,SPG1_STRSG,Binding,-0.031618617029075716,149360
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Stability,0.7676943702051334,1058
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,Stability,0.2532654046194956,1010
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Stability,0.6704184312461129,2282
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN,Activity,0.29385205019989635,200
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Activity,0.22305984469693527,697
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Stability,0.7487000098244404,3197
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,Expression,0.3197947958093458,6917
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Stability,0.1792622503444718,1237
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Stability,-0.005223078291836663,2116
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,Stability,0.6488933229015702,2300
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,Activity,0.4673922588794969,3134
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Stability,0.03662879425028392,5130
