UniProt_ID,selection_type,uniprot_spearman,n_assays
TPK1_HUMAN,OrganismalFitness,0.11443179755392938,1
TPMT_HUMAN,Expression,0.10378680994933129,1
TPOR_HUMAN,OrganismalFitness,0.1783162060976881,1
TRPC_SACS2,OrganismalFitness,0.12364941441138866,1
TRPC_THEMA,OrganismalFitness,0.08682902031359441,1
UBC9_HUMAN,OrganismalFitness,0.012344399908182186,1
UBE4B_HUMAN,Stability,-0.10215482494473203,1
UBE4B_MOUSE,Activity,0.12409239828208352,1
UBR5_HUMAN,Stability,0.1518625171449827,1
VG08_BPP22,Stability,0.07135659136685532,1
VILI_CHICK,Stability,0.053507098064380025,1
VKOR1_HUMAN,Activity,0.06591523249409842,1
VKOR1_HUMAN,Expression,0.1322248247702157,1
VRPI_BPT7,Stability,-0.002189293484134821,1
YAIA_ECOLI,Stability,-0.028812877785871313,1
YAP1_HUMAN,Binding,0.19339662728192766,1
YNZC_BACSU,Stability,0.2606863358858459,1
